№,Наименование организации,,ИНН,Юридический адрес,Ф.И.О. руководителя,Контакты,Основной вид деятельности (ОКЕД),код ОКЕД,№ лицензии,Дата выдачи лицензии,срок действии лицензии,Вид лицензируемой деятельности,№ лицензионного соглашения,Дата лицензионного соглашения,Наименование лицензируемых работ,Причина переоформления или отзыва  лицензии,Форма собственности,Область,Район,Населенный пункт
325,УРГАНЧ ЛОЙИХА СЕРВИС,МЧЖ,300917993,"Хоразм вилоят Урганч шаҳар Д.Матчон,41 Ал-Хоразмий кўчаси, 81/53",Бакиев Максуд Алимбаевич, +99897 211-89-40 +99898 577-89-40,,,,,,,,,,,, Хоразм,,Урганч шаҳар
326,ARC,ХФ,202559199,"200100. Бухоро вилоят Бухоро шаҳар Навоий Шох,5",Шарипова З,,,,,,,,,,,,,Бухоро,,Бухоро шаҳар
327,Механобор инжиниринг,ЁАЖ ,7831000010,"Санкт-Петербург шаҳар В.О. 22линия 3-уй,7-корпус",Сазонов К, 324-89-29 182-83-02,,,,,,,,,,,,Россияская Федерация,,Санкт-Петербург шаҳар
328,Сирдарё вилоят автомобил йулларини лойихалаш,МЧЖ,200323336,"120100. Сирдарё вилоят Гулистон шаҳар Тошкент,3",Махаматов Мардон, 27-34-58 77-72-41,,,,,,,,,,,,Сирдарё,,Гулистон шаҳар
329,EKSPERTLOYIHAKONSALTING,МЧЖ,206977285,"100011. Тошкент шаҳар Навоий,22",Умматалиев Зиёдулло ,241-37-50 +99893 505-05-35,,,,,,,,,,,,,,Тошкент шаҳар
330,Ю КУРБОНОВ Х  ИЖОДИЙ УСТАХОНАСИ,МЧЖ,203549179,"Қашқадарё вилоят Қарши шаҳар М.Жалил,10",Қурбонов Ж, 224-01-17,,,,,,,,,,,,Қашқадарё,,Қарши шаҳар
331,ARK-DIZAYN,АЛУ,205097116,"Самарқанд вилоят Самарқанд шаҳар А.Жомий,59",Амонов А, 233-76-09,,,,,,,,,,,,Самарқанд,,Самарқанд шаҳар
332,Шофиркон Универсал Сервис,МЧЖ,205444744,"201100. Бухоро вилоят Шофиркон шаҳар Мустақиллик,4",Саломов Р, 454-89-66,,,,,,,,,,,,Бухоро,,Шофиркон шаҳар
333,Мадаткор,ХК,200858936,"200104. Бухоро вилоят Бухоро шаҳар Мустақиллик,10",Қораев Сирожиддин, 223-55-13 722-33-00,,,,,,,,,,,,Бухоро,,Бухоро шаҳар
334,Сурхон Газ лойиха,МЧЖ,206660737,"190112. Сурхондарё вилоят Термез шаҳар Ат Термезий,7",Масобиров Халимжон, 227-52-08 534-11-56,,,,,,,,,,,,Сурхондарё,,Термез шаҳар
335,MEGA-AXIAL,МЧЖ,206067294,"200100. Бухоро вилоят Бухоро шаҳар Навоий Шох,5",Нуриллаева Жамила, 223-45-60 300-79-34,,,,,,,,,,,,Бухоро,,Бухоро шаҳар
336,Хумо-Дизайн,ХК,205845600,"Сурхондарё вилоят Термез шаҳар Тарққиёт,15",Эшқобилов Р, 393-95-39,,,,,,,,,,,,Сурхондарё,,Термез шаҳар
337,МЕЪМОР ОДИЛ,ХК,300060005,"Қашқадарё вилоят Қарши шаҳар Жайхун кўчаси, 176",Шукуров Одил, 204-45-86,,,,,,,,,,,,Қашқадарё,,Қарши шаҳар
338,ЛОЙИХА КУРИЛИШ ИНВЕСТ,ХК,300083744,"Хоразм вилоят Урганч шахар, 4-микрорайон, 10-уй, 37 хона",Мадаминов М, 512-77-02,,,,,,,,,,,, Хоразм,,Урганч шаҳар
339,XIVA-LOYIHA QURILISH,ХК,206791130,Хоразм вилоят Хива шаҳар Газчилар махалласи,Сайидова, З 517-68-12,,,,,,,,,,,, Хоразм,,Хива шаҳар
340,LOLA-XIVA,ЛЛК,205290541,"Хоразм вилоят Хива туман Аль-Хоразмий,23",Маткаримов А, 512-21-49,,,,,,,,,,,, Хоразм,Хива туман,
341,Вилоят хужаликлараро лойихалаш институти,МЧЖ,201599070,"180000. Қашқадарё вилоят Қарши шаҳар Тошқудуқ,25",Рахмонов Жалил, 225-32-64 729-58-41,,,,,,,,,,,,Қашқадарё,,Қарши шаҳар
342,СУРХОН КАФОЛАТ ЛОЙИХА,МЧЖ,300410329,"190100. Сурхондарё вилоят Термез шаҳар Ф.Хўжаев,30",Чутбоев Урол, 223-47-87 398-80-80,,,,,,,,,,,,Сурхондарё,,Термез шаҳар
343,DOM IK PROEKT,МЧЖ,205191009,"Тошкент ш. Миробод тумани Т.Шевченко кўчаси, 38","Кузнецов Михаил, Алена Чехова", 232-03-62 950-50-19 155-53-52 362-82-56 ,,,,,,,,,,,,,Миробод,Тошкент шаҳар
344,Қурилиш лойиҳа Гулистон,ХК,205622689,"120100. Сирдарё вилоят Гулистон шаҳар Навоий,36",Хасанов Фарит Хафизович, 227-37-70 +99891 505-36-21,,,,,,,,,,,,Сирдарё,, Гулистон шаҳар
345,Уйжойсаноатсув-қурилиш,ХК,200474924,"Сурхондарё вилоят Термез шаҳар М.Қаххор,14",Адинаев Мухаммадисо,576-34-43,,,,,,,,,,,,Сурхондарё ,,Термез шаҳар
346,CHIRCHIK-ME’MOR,ХК,205706883,"111700. Тошкент вилоят Чирчиқ шаҳар НАвоий Шох,307",Насриддинова Инобат ,933-66-65,,,,,,,,,,,,Тошкент,,Чирчиқ шаҳар
347,КАРАКАЛПАКПУХАРАЖОЙБАР,ХК,201498822,"Қорақолпағистон Республикаси Нукус шаҳар Навоий,121",Нагашбаев Т,350-36-65,,,,,,,,,,,,Қорақолпағистон Республикаси,,Нукус шаҳар 
348,LTA’MIRLOYIHA,МЧЖ,202700198,"160100. Наманган вилоят Наманган шаҳар А.Темур,105",Хожиев Носиржон,233-16-14,,,,,,,,,,,,Наманган,,Наманган шаҳар 
349,Гулистон сув лойиха,МЧЖ,200324294,"Сирдарё вилоят Гулистон шаҳар Ш.Рашидов,127",Хамзаев Дамир,46-35-45 25-01-71,,,,,,,,,,,,Сирдарё,,Гулистон шаҳар
350,SAMARQANDFUQAROLOYIHA,МЧЖ,200714996,"140131. Самарқанд вилоят Самарқанд шаҳар Буюк ипак йўли, 69А",Ортиқов Убайдулло,222-12-72 265-69-44,,,,,,,,,,,,Самарқанд,,Самарқанд шаҳар
351,XILOL LOYIHA,ХК,205807038,"140131. Самарқанд вилоят Самарқанд шаҳар Буюк Ипак йўли кўчаси, 69”А”",Ортиқов Убойдулло,226-58-86,,,,,,,,,,,,Самарқанд,,Самарқанд шаҳар
352,GEOFUNDAMENTPROJEKT,МЧЖ,200614930,"140147. Самарқанд вилоят Самарқанд шаҳар Лолазор,70",Хасанов А,220-28-25,,,,,,,,,,,,Самарқанд,,Самарқанд шаҳар
353,PROSYSTEM ENGENIRING,МЧЖ,206851356,"100025.Тошкент шаҳар Бунёдкор,42",Олховская Виктория камиловна,276-95-46 804-42-30,,,,,,,,,,,,,,Тошкент шаҳар
354,УРГАНЧТРАНСГАЗ, ШК ,200407848,"220100. Хоразм вилоят Урганч шаҳар А.Герман,13","Матякубов Абдулла Жуманиёзович,Карабаев Ибрагим","223-03-31 223-03-37,+998939221509",,,,,,,,,,,,Хоразм вилоят ,,Урганч шаҳар 
355,KOMMUNAL TA’MIRLASH,МЧЖ,200524330,"Тошкент шаҳар Олтинтепа,189Б",Усмоналиев Анормат,269-65-17 745-81-05,,,,,,,,,,,,,,Тошкент шаҳар
356,NILEM PROEKT STROY,МЧЖ,206819544,"100126.Тошкент шаҳар Фарход,21 Зулфияхоним кўчаси, 112","Шукур Расулов Саид,Исмаилов Аброр Бахадирович ",+99893 514-58-20 +99899 144-54-84,,,,,,,,,,,,,,Тошкент шаҳар
357,ARIA-PROEKT,МЧЖ ,300000126,"200100. Бухоро вилоят Бухоро шаҳар Мустақиллик,1",Мавлюбердин Равил,223-86-91 190-15-84,,,,,,,,,,,,Бухоро,,Бухоро шаҳар
358,Фарғонадавсувлойиҳа,,200146191,"150105. Фарғона вилоят Фарғона шаҳар Ал-Фарғоний,60",Гаипов М ,224-22-65. 224-70-84,,,,,,,,,,,,Фарғона,,Фарғона шаҳар
359,УМИД, МЧЖ ,200058088,"Наманган вилоят Наманган шаҳар Навоий,5",Жамалов Фахриддин,226-89-45,,,,,,,,,,,,Наманган,,Наманган шаҳар 
360,OM,ХК,201309106,"100152.Тошкент шаҳар Мироншоҳ,72","Чацскис Г,Андрей ",255-16-05 685-55-98 ,,,,,,,,,,,,,,Тошкент шаҳар 
361,DONG SEUNG KOREA, МЧЖ,203542164,"100085.Тошкент шаҳар Янги Сергели,8а",Ли Мин Хенг ,215-00-27 171-47-74,,,,,,,,,,,,,,Тошкент шаҳар
362,ZILZILABARDOSH QURILISH ILM,МЧЖ,205348284,"100100. Тошкент шаҳар Муқимий 1-тор кўчаси,7",Мусурманқулов Абдуғани ,253-43-03 317-00-21,,,,,,,,,,,,,,Тошкент шаҳар
363,MAZ-PROEKT-DIZAYN,МЧЖ,300877854,"100094.Тошкент шаҳар А.Қодирий,7а",Раджапов С ,422-27-89,,,,,,,,,,,,,,Тошкент шаҳар
364,LOYIHA-SIFAT,МЧЖ,204032331,"Тошкент шаҳар Мустақиллик Шох кўчаси, 68",Рахимов Бахтиёр ,237-05-78 700-01-46,,,,,,,,,,,,,,Тошкент шаҳар
365,ZARDUDA”,КТИЧК ,203964050,"Наманган вилоят Наманган шаҳар Н.Номонгоний,18",Шарипов Шухрат,621-11-13,,,,,,,,,,,,Наманган,,Наманган шаҳар
366,NAVOIY QURILISH LOYIHA,ХК,300812040,"Навоий вилоят Навоий шаҳар Рохат,52",Олтинов Икром,532-29-37,,,,,,,,,,,,Навоий ,,Навоий шаҳар 
367,Архторус,ХИУ ,200362067,"Қорақолпағистон Республикаси Нукус шаҳар А.Темур,127",Тораниязов Айняз Тораниязов Оринбай ,222-10-14 +998905907997,,,,,,,,,,,,Қорақолпағистон Республикаси,,Нукус шаҳар
368,ME’MOR OBOD SERVIS, МЧЖ ,300753677,"140145. Самарқанд вилоят Самарқанд шаҳар ул. Лолазор, 70",Махмудов Фарход , 600-04-95,,,,,,,,,,,,Самарқанд,,Самарқанд шаҳар 
369,ZARKAMRUS QURILISH LOYIXA,ХК ,300483340,"140145. Самарқанд вилоят Самарқанд шаҳар А.Темур,149а",Очилов Б,228-51-37,,,,,,,,,,,,Самарқанд,,Самарқанд шаҳар
370,ROYAL DIZAYN LOYIHA”, МЧЖ ,300898378,"Тошкент ш. М. Улуғбек тумани, Неъмат кўчаси, 125-уй",Парпибаев Шухрат Адылович,+99890 633-55-54,,,,,,,,,,,,,,Тошкент шаҳар
371,ARH-GRAND PROJEKT,ХК ,300880869,200117. Бухоро вилоят Бухоро шаҳар М.Иқбол,Соловей Сергей,226-25-57 620-26-27,,,,,,,,,,,,Бухоро,,Бухоро шаҳар
372,ДИЗАЙН ШАХРИ КЕШ,хф,205242616,"Қашқадарё вилоят Шахрисабз шаҳар Зингирон,26",Исомиддинов Б,,,,,,,,,,,,,Қашқадарё,,Шахрисабз шаҳар
373,FER BONA FIDES,ХК ,300693870,"150100. Фарғона вилоят Фарғона шаҳар Қомус,9",Расулов Иқбол,520-99-74,,,,,,,,,,,,Фарғона,,Фарғона шаҳар 
374,“ARHIDEA PRO”  МЧЖ СТИР 206831665, МЧЖ ,206831665,"100011.Тошкент шаҳар Абай,4а",Абдуғаниева Зарифа ,244-56-60 119-35-17,,,,,,,,,,,,,,Тошкент шаҳар
375,NAVOIY BINOKOR LOYIHA, МЧЖ ,204266340,"210000. Навоий вилоят Навоий шаҳар Амир темур кўчаси, 4-419",Искандаров Суннат ,224-30-91 228-56-88 223-77-54,,,,,,,,,,,,Навоий,,Навоий шаҳар 
376,ARXITEKTOR-TAS,ЛКК ,204629766,"210000. Навоий вилоят Навоий шахар Меъморлар кўчаси, 55",Низамов Колниёз,225-49-91 228-56-88,,,,,,,,,,,,Навоий,,Навоий шахар 
377,MEXANIKA ILMIY-TEXNIK MARKAZ,МЧЖ,203642697,"100125.Тошкент шаҳар Дўмон йўли,31",Тешобоев З,262-71-42 262-27-32 342-07-89,,,,,,,,,,,,,,Тошкент шаҳар 
378,KARMANA DIZAYN,МЧЖ,300543756,"210100. Навоий вилоят Навоий шаҳар С.Айний,52",Мусаев Муслиддинэ ,79-742-60-11,,,,,,,,,,,,Навоий,, Навоий шаҳар
379,TOSHQURILISHMATERIALLARILITI,ОАЖ ,200523016,"100059.Тошкент шаҳар Суқрот,13",Бектемирова рашида махмудона, 250-37-39 375-53-03,,,,,,,,,,,,,,Тошкент шаҳар
380,BRIONI,МЧЖ,300974426,Тошкент шаҳар Учтепа туман 13 мавзе Катта боғ худуди,Абдухалил,948-72-41 ,,,,,,,,,,,,,,Тошкент шаҳар
381,NVEST PROEKT SERVIS,МЧЖ,205233928,"100021.Тошкент шаҳар Навоий,40",Рижов В,244-88-26 182-24-21,,,,,,,,,,,,,,Тошкент шаҳар
382,KAZAR,МЧЖ,203214120,"Бухоро вилоят Бухоро шаҳар О.Эшонова,5",Асроров Эркин,223-80-06 711-94-91,,,,,,,,,,,,Бухоро,,Бухоро шаҳар
383,Каракалпакархдизайнжойбар,МЧЖ,201072522,"Қорақолпағистон Республикаси Нукус шаҳар Ю.Қурбонов,1",Айтқулов Ф ,223-73-23 501-51-35,,,,,,,,,,,,Қорақолпағистон Республикаси ,,Нукус шаҳар
384,POLITEX,МЧЖ ,200846784,"100000.Тошкент шаҳар Мустақиллик,22-15",Исмаилов Ф ,237-33-77 330-04-12,,,,,,,,,,,,,,Тошкент шаҳар
385,SHUKURJON,ШИУ ,200376420,"Қорақолпағистон Республикаси Амударё туман  Мангит шаҳри Қипчоқ,32",Бекмуратов Шербай ,"515-10-43 934-08-32,439-71-86 ",,,,,,,,,,,,Қорақолпағистон Республикаси,Амударё, Мангит шаҳри
386,ККАВТОЖОЛЖОЙБАР,МЧЖ ,200362755,"Қорақолпағистон Республикаси Нукус шаҳар А.Дабилов,4",Изимов Бексултан,224-30-54 577-54-54,,,,,,,,,,,,Қорақолпағистон Республикаси,,Нукус шаҳар
387,КК ТАМИРЛОЙНА,МЧЖ ,200949632,"Қорақолпағистон Республикаси Нукус шаҳар Гарезсизлик,65",Кидиров Б,222-77-05 363-44-19,,,,,,,,,,,,Қорақолпағистон Республикаси,,Нукус шаҳар
388,Дауир жойбар,МЧЖ ,200357412,230121. Қорақолпағистон Республикаси Нукус шаҳар Хўжайли гузари Қизкетген посёлкаси,Нурманов Фархад ,225-14-93 220-30-92,,,,,,,,,,,,Қорақолпағистон Республикаси,,Нукус шаҳар
389,АДИЛБЕК НУКУС,МЧЖ ,205685950,"Қорақолпағистон Республикаси Нукус шаҳар Х.Режебов,10-3",Сафаров А ,222-01-20 353-08-40,,,,,,,,,,,,Қорақолпағистон Республикаси,,Нукус шаҳар
390,ТАЗА-СУВ,МЧЖ ,203881155,"Қорақолпағистон Республикаси Нукус шаҳар Е.рназар Олакўз,56",Атабаев К ,505-25-01 351-23-43,,,,,,,,,,,,Қорақолпағистон Республикаси,,Нукус шаҳар
391,QaraqalPaq gaz qurilis loyixa,МЧЖ ,205214713,"Қорақолпағистон Республикаси Нукус шаҳар Е. Алакоз, 1а-уй","Аметов Т,Аллабергенов Бахтиёр Саъдуллаевич ","99861224-16-89,224-16-89",,,,,,,,,,,,Қорақолпағистон Республикаси,,Нукус шаҳар
392,NUKUS GORLANDSHAFT PROEKT,МЧЖ,205146710,230101. Қорақолпағистон Республикаси Нукус шаҳри Берег Кызкетген,Сайтназаров Сейтмурат ,99893 920-15-55,,,,,,,,,,,,Қорақолпағистон Республикаси,,Нукус шаҳар
393,НУР ПРОМЖИЛСТРОЙ,МЧЖ,206614182,"Қорақолпағистон Республикаси Нукус шаҳри Тўрткўл гузари,52а жой-4",Аметов Т ,222-57-30 354-74-44,,,,,,,,,,,,Қорақолпағистон Республикаси,,Нукус шаҳар
394,ЗАМАНЛАС ДАУИР,ШИУ ,300131683,"Қорақолпағистон Республикаси Нукус шаҳар А.Темур,129а",Жимуратов Онгар ,222-97-01 221-38-70,,,,,,,,,,,,Қорақолпағистон Республикаси,,Нукус шаҳар
395,Жайсвилойиха,МЧЖ ,205261141,"Қорақолпағистон Республикаси Нукус шаҳар А. Досназаров,66",Досназаров А ,351-15-15 222-92-48,,,,,,,,,,,,Қорақолпағистон Республикаси,,Нукус шаҳар
